rarity,prize_cr,rate_percent,qty,total_cr
Common,5000,8.0,915,4575000
Common,8000,1.6,182,1456000
Common,10000,7.9,912,9120000
Common,12000,1.6,183,2196000
Common,15000,12.0,1377,20655000
Common,20000,12.0,1373,27460000
Common,25000,2.4,274,6850000
Common,35000,2.4,271,9485000
Common,40000,2.4,273,10920000
Common,45000,4.0,458,20610000
Rare,50000,4.8,549,27450000
Rare,75000,1.6,184,13800000
Rare,80000,1.6,184,14720000
Rare,100000,2.4,276,27600000
Epic,150000,2.9,331,49650000
Epic,175000,1.6,183,32025000
Epic,200000,4.0,457,91400000
Legendary,250000,3.2,367,91750000
