raw_name,canonical_name,notes
2020 Wuling Sunshine S Forza Edition,2013 Wuling Sunshine S Forza Edition,User-provided canonical name; source image/transcription had 2020
1961 Jaguar E-Type,1961 Jaguar E-type,User-provided canonical casing
1961 Jaguar E-type,1961 Jaguar E-type,Canonical
2021 McLaren 620R,2021 McLaren 620R,Canonical
2018 Mercedes-AMG GT 4-Door Coupe,2018 Mercedes-AMG GT 4-Door Coupé,Accent normalization
2018 Mercedes-AMG GT 4-Door Coupé,2018 Mercedes-AMG GT 4-Door Coupé,Canonical
2020 BMW M2 Competition Coupe,2020 BMW M2 Competition Coupé,Accent normalization
2020 BMW M2 Competition Coupé,2020 BMW M2 Competition Coupé,Canonical
1993 Jaguar XD20,1993 Jaguar XJ220,Probable OCR/transcription confusion
1993 Jaguar XJ220,1993 Jaguar XJ220,Canonical
2020 Jmco #179 Hammerhead Class 1,2020 Jimco #179 Hammerhead Class 1,Manufacturer spelling normalization
2020 Jimco #179 Hammerhead Class 1,2020 Jimco #179 Hammerhead Class 1,Canonical
2008 Koenigsegg CCGT,2008 Koenigsegg CCGT,Canonical
